Fach;LV;Beschreibung;Start date;Start time;End date;End time;Duration;Tags;Studienphase;Semester
BWL;Accounting & Management Control I;Lerncheck;19.03.19;08:28:51;19.03.19;09:44:49;1:15:58;Nachbereitung;CBK;SS2019
STATMATH;Statistik;Vorbereitung;19.03.19;12:35:59;19.03.19;13:44:23;1:08:24;Vorbereitung;CBK;SS2019
STATMATH;Statistik;Vorbereitung;19.03.19;11:30:00;19.03.19;12:35:46;1:05:46;Vorbereitung;CBK;SS2019
STATMATH;Statistik;Vorbereitung;19.03.19;10:14:37;19.03.19;11:03:53;0:49:16;Vorbereitung;CBK;SS2019
STATMATH;Statistik;Wdh Fragen;20.03.19;09:40:24;20.03.19;13:00:11;3:19:47;Nachbereitung;CBK;SS2019
STATMATH;Statistik;Vorbereitung;20.03.19;08:29:47;20.03.19;08:59:54;0:30:07;Vorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung;21.03.19;14:00:07;21.03.19;14:00:08;0:00:01;Vorlesung;CBK;SS2019
English Business Communication;English Business Communication 1;;22.03.19;08:30:00;22.03.19;11:00:00;2:30:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;22.03.19;14:02:28;22.03.19;15:00:28;0:58:00;Nachbereitung;CBK;SS2019
;Vorbereitung, Planung, Organisation;Studienplan geplant;24.03.19;10:00:26;24.03.19;12:00:26;2:00:00;;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;24.03.19;12:20:52;24.03.19;13:35:52;1:15:00;Vorbereitung;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;24.03.19;14:02:11;24.03.19;15:17:11;1:15:00;Vorbereitung;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;24.03.19;19:30:23;24.03.19;20:45:23;1:15:00;Vorbereitung;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;25.03.19;06:56:41;25.03.19;08:11:41;1:15:00;Vorbereitung;CBK;SS2019
STATMATH;Statistik;Aufgaben gelöst;25.03.19;09:07:11;25.03.19;10:22:11;1:15:00;Vorbereitung;CBK;SS2019
STATMATH;Statistik;Aufgaben gelöst;25.03.19;11:01:25;25.03.19;12:16:25;1:15:00;Vorbereitung;CBK;SS2019
STATMATH;Statistik;Aufgaben gelöst;25.03.19;13:48:32;25.03.19;14:58:56;1:10:24;Vorbereitung;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;25.03.19;12:30:35;25.03.19;13:04:28;0:33:53;Vorbereitung;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;25.03.19;12:30:32;25.03.19;12:30:34;0:00:02;Vorbereitung;CBK;SS2019
STATMATH;Statistik;R Buch gelesen;26.03.19;07:30:48;26.03.19;10:45:48;3:15:00;Vorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung;26.03.19;14:00:21;26.03.19;17:00:32;3:00:11;Vorbereitung;CBK;SS2019
STATMATH;Statistik;;27.03.19;08:00:00;27.03.19;13:00:00;5:00:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;;28.03.19;14:00:00;28.03.19;17:00:00;3:00:00;Vorlesung;CBK;SS2019
English Business Communication;English Business Communication 1;;29.03.19;08:30:21;29.03.19;12:00:21;3:30:00;Vorlesung;CBK;SS2019
STATMATH;Statistik;LEARN@WU 3;30.03.19;18:52:46;30.03.19;20:07:46;1:15:00;LEARN@WU;CBK;SS2019
STATMATH;Statistik;LEARN@WU 3;31.03.19;12:23:57;31.03.19;14:00:57;1:37:00;LEARN@WU;CBK;SS2019
STATMATH;Statistik;LEARN@WU 3;31.03.19;15:50:02;31.03.19;16:47:48;0:57:46;LEARN@WU;CBK;SS2019
STATMATH;Statistik;LEARN@WU 3;31.03.19;17:53:40;31.03.19;18:44:56;0:51:16;LEARN@WU;CBK;SS2019
STATMATH;Statistik;LEARN@WU 4;01.04.19;11:29:18;01.04.19;12:44:18;1:15:00;LEARN@WU;CBK;SS2019
STATMATH;Statistik;LEARN@WU 4;01.04.19;15:21:09;01.04.19;16:36:09;1:15:00;LEARN@WU;CBK;SS2019
STATMATH;Statistik;Klausurvorbereitung;01.04.19;19:03:07;01.04.19;20:18:07;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;;02.04.19;14:00:04;02.04.19;21:00:09;7:00:05;Vorlesung;CBK;SS2019
